category,desc
Software Engineering,"Build and manage an engineering productivity team focused on improving testability of the Google’s diverse project areas and platforms.
Create the next generation developer infrastructure for Google, focusing on developer experience, integration and scalability.
Define team strategy and roadmap, and drive adoption of test infrastructure across several product areas.
Manage the development of engineers on your teams through project and task assignment, individual coaching and identifying relevant training classes.
Provide knowledge in the application of Machine Learning to engineering productivity challenges, driving the creation of innovative tools with Google-wide impact."
Program Management,"Set the standard for successful delivery and execution regarding customer engagements. Lead by example when it comes to making customers in your region successful.
Share best practices proactively with your counterparts in other regions. Emphasize shared success across your team and across regions.
Establish and maintain your team’s position as key strategic advisor to business executives and IT stakeholders for Google Cloud’s accounts, ensuring their business priorities are met using Google Cloud solutions.
Work with customer technical leads, client executives, and partners to manage and deliver successful migrations to Google Cloud solutions.
Build the capabilities of Google’s channel partners in your region by establishing Professional Services Organization (PSO)/partner go-to-market strategies, and by actively developing and sharing best practice recommendations gained during customer engagements."
Product & Customer Support,"Develop and track core metrics across all Google Cloud products, including overall satisfaction, customer effort, net promoter score (NPS), partner satisfaction, etc.
Build and maintain reports, dashboards and metrics to monitor the performance of the program
Apply quantitative analysis, data mining and data presentation to provide meaningful business insights to stakeholders (with support from data scientists)
Provide insights that influence and drive actions/improvements across the customer journey
Demonstrate ability to manage risks at the operational level to ensure smooth execution of survey launches"
Program Management,"Manage a global team of Technical Trainers.
Grow the team to achieve staffing goals while ensuring high training standards are maintained.
Optimize the performance of the Training team by ensuring the team has access to the necessary resources, assets, networks and tools.
Ensure best training practices are shared across the global team.
Work cross-functionally with the Curriculum Development team to ensure an effective feedback loop is in place between instructors and that team. Optimize delivery schedules to ensure alignment with business goals."
Technical Solutions,"Work with Partner Managers to identify and recruit partners in the market that can deliver innovative solutions to our customers, built on top of Google Cloud (Google Cloud Platform and G Suite).
Develop our partners’ technical teams with both sales and technical competencies, so that they can be successful in the market.
Keep partners up-to-date with product and technical knowledge and market differentiators.
Work with partner technical representatives in opportunities and projects, complementing their skill and guaranteeing high quality customer deliverables. Advise on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing “best practice” advice to customers and partners to optimize Google Cloud effectiveness.
Act as a technical advocate within Google for our partners in order to help provide feedback from the field, as well as to present on their behalf."
Technical Solutions,"Obtain and maintain an in-depth understanding of Google's product technology, architecture and implementation. Cultivate and transfer knowledge to Google’s support groups.
Guide or perform design and implementation of new support, productivity or investigation tools in order to increase efficiency for the technical support process.
Act as a consultant and knowledge base for Product Managers, Sales Engineers, Technical Account Managers, and Deployment Specialists, resolving technical deployment obstacles, improving the product's vision and making Google customers successful.
Work closely with multiple Google Product Management and Software Engineering teams on understanding ways to improve the product. Interact with Quality Assurance (QA) teams to drive exceptional testing quality.
Diagnose and resolve complex customer problems for the Google Chrome product area in an engineering support function, as part of a global 24x7 global team."
Data Center & Network,"Understand the supply chain data structure and critical data elements that bridge across multiple supply chain functions, integrate with supply chain tools and are shared with external stakeholders.
Identify data integrity matters and gaps, and structure and manage data clean-up projects to increase accuracy while also implementing long-term process improvements and automation/tool development.
Scope, drive and implement cross-functional projects that drive the operationalization of data integrity and management as part of supply chain operational responsibilities.
Define and implement metrics focused around data management. Ensure buy-in and support from cross-functional data owners"
Technical Solutions,"Work as part of the Sales team to identify and qualify Platform opportunities and determine if Google Cloud Platform is right for them. Identify business and technical requirements, conduct full technical discovery and architect client solutions to meet gathered requirements.
Take responsibility for leading the technical project, including such activities as technology advocacy, supporting bid responses, product and solution briefings, proof-of-concept work, and the coordination of supporting technical resources.
Work hands-on with Google Cloud Platform products to demonstrate and prototype integrations in customer/partner environments. Travel frequently around EMEA for meetings, technical reviews and onsite delivery activities.
Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Make recommendations on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness."
Technical Solutions,"Work with JAPAC Partner and Alliances Lead to develop the Go-to-Market strategy for the region. Build and lead a team of technical Partner Engineers across APAC and Japan.
Identify and recruit partners in the market that can deliver innovative solutions to our customers, built on top of Google Cloud.
Develop Partners’ technical teams advising on their technical business plan and readiness, so that they can be successful in the market. Keep them up to date with latest product and technical knowledge and be an internal technical advocate for them, to help provide feedback from the field.
Engage with technical leadership parterns in large strategic opportunities and projects, complementing their skill and guaranteeing high quality customer deliverables.
Travel up to 40% of the time as required, to visit partners across a defined geographic territory."
Program Management,"Oversee a sales program across office(s), responsible for delivering appointments between prospective new advertisers and New Business Account Executives.
Deliver training programs and execute process to maximize productivity.
Implement and maintain an effective business rhythm."
Technical Solutions,"Work closely with our Sales team to identify, develop, and optimize new business opportunities and develop client relationships by leveraging Google products and technologies. Develop cutting-edge solutions as the technical lead, provide consulting services to our partners, build lasting relationships and be sensitive to client needs.
Help partners in their day-to-day challenges by delivering innovative and scalable solutions and troubleshooting their issues.
Propose, design, create and present prototypes, demos and proofs-of-concept to a wide variety of audiences, from engineers to marketing professionals.
Perform implementation reviews. Advocate for new product features, and provide partner feedback to internal cross-functional teams including Product Management and Engineering.
Travel as required to meet with specific partners/clients internationally."
Product & Customer Support,"Provide consulting services, share best practices and conduct technical troubleshooting for clients.
Work with core teams to develop strategy, including best practices, change management and optimization analysis.
Implement new product features as they relate to client product usage.
Collaborate with the regional and global Sales and Services teams to lead monitoring exchange activity efforts and to track performance against goals.
Ensure project team, internal management and external customers receive appropriate, timely and accurate project information and status updates, identifying delays, budgets and technical quality concerns so that they can be proactively addressed."
Business Strategy,"Develop a key performance indicators (KPI) dashboard and competitive insights for use by Executive team to manage the business. Establish and lead operating processes and tools for effectively managing the organization, including actively tracking key trends in lagging/leading metrics.
Provide insightful data-driven strategic recommendations to leadership. Communicate findings from initiatives to management and the broader organization.
Partner closely with other functions relevant to the team, including Product and Engineering, Communications, PR, Marketing, Finance, Legal and Operations. Use cross-functional knowledge and seek to understand issues, trends and perspectives that may influence the business.
Drive the Leadership team towards clear, efficient and accountable decision making. Distill and cascade core tenets of our strategy for board, leadership and other internal and external stakeholders."
Technical Solutions,"Guide partners and clients through the entire implementation process.
Consult with stakeholders to define the project structure, requirements and priorities.
Manage customer expectations of product delivery by establishing a trusted relationship and regularly communicating project status and requirements.
Identify potential opportunities for service partner development and education.
Investigate and track client concerns and collaborate to resolve any account issues. Work with other departments within GA360 to actively manage and resolve project-related issues."
Technical Solutions,"Work as part of the Sales team to identify and qualify platform opportunities, and determine if Google Cloud Platform is right for them. Identify business and technical requirements, conduct full technical discovery and architect client solutions to meet gathered requirements.
Take responsibility for leading technical projects, including such activities as technology advocacy, supporting bid responses, product and solution briefings, proof-of-concept work, and the coordination of supporting technical resources.
Work hands-on with Google Cloud Platform products to demonstrate and prototype integrations in customer/partner environments. Travel as required around EMEA for meetings, technical reviews and onsite delivery activities.
Prepare and deliver product messaging in an effort to highlight the Google Cloud Platform value proposition, using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Make recommendations on the integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution, providing best practice advice to customers to optimize Google Cloud Platform effectiveness."
Manufacturing & Supply Chain,"Develop and execute global supply chain strategies.
Drive suppliers to ensure material availability and readiness for the development builds and mass production.
Serve as the escalation point for all supplier related issues in mass production.
Understand component lead time and evaluate associated supply chain risks."
Technical Solutions,"Coordinate and facilitate between internal teams to gain feedback and insight into agreements and initiatives.
Advise business development and technology management teams, as well as legal on risks around technical solutions and service level commitments.
Work with key stakeholders to create, draft and communicate implementation standards to facilitate smoother operations and improve decision making.
Review and approve technical agreement terms."
Program Management,"Work as part of the Sales team to identify and qualify platform opportunities. Identify business and technical requirements, conduct full technical discovery and architect client solutions to meet gathered requirements.
Lead technical projects including such activities as technology advocacy, supporting bid responses, product and solution briefings, proof-of-concept work and the coordination of supporting technical resources.
Work hands-on with Google for Work Cloud Platform products to demonstrate and prototype integrations in customer/partner environments.
Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Make recommendations on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness."
Program Management,"Align Googlers from multiple organization to deliver outstanding product and program outcomes.
Drive the planning and execution of the software development programs, working closely with engineers, product managers, site reliability engineers, and other key stakeholders. Establish goals, schedule and milestones. Proactively manage dependencies and anticipate/resolve execution issues.
Be the trusted owner of the status of your releases and programs.
Drive visibility on progress/dependencies/risks/issues to executives and other stakeholders.
Build strong partnerships across Google and leverage your credibility and technical acumen to drive process improvements and efficiencies that lead to better quality and increased velocity/productivity."
Software Engineering,"Design, develop, test, deploy, maintain and improve software.
Manage individual project priorities, deadlines and deliverables."
Technical Solutions,"Help compile customer requirements as well as survey existing customer IT landscape to enable integrations from PoC stage to a full deployment of products managing healthcare and/or life sciences data in Google Cloud.
Define the business case for solutions, design solutions to help prototype and develop the customer’s new environment, and guide solutions through launch to market. Create training materials, guides, demonstrations and white papers and help scale solutions delivery.
Engage standards communities to drive the development of standards that meet platform and customer needs, and ensure that standards implementers know what the Google Cloud Healthcare platform can do for them.
Demonstrate thought leadership in cloud computing across multiple channels and become a trusted advisor to decision makers. Provide customer and market feedback to the Product and Engineering teams and help shape product direction.
Travel as required in-region for meetings, technical reviews and onsite delivery activities."
Program Management,"Provide Program Management support to Google Cloud Online Experience projects.
Provide operational support for Online Operations including recruiting and space planning.
Implement consistent reporting and tracking across Product teams, and track upcoming product launches and milestones .
Partner in the development and roll out of communication and on-boarding programs.
Support budget planning and ongoing tracking."
Program Management,"Work as part of the Sales team to identify and qualify platform opportunities. Identify business and technical requirements, conduct full technical discovery and architect client solutions to meet gathered requirements.
Lead technical projects including such activities as technology advocacy, supporting bid responses, product and solution briefings, proof-of-concept work and the coordination of supporting technical resources.
Work hands-on with Google for Work Cloud Platform products to demonstrate and prototype integrations in customer/partner environments.
Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Make recommendations on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness."
Technical Solutions,"Support the management of outsourced operations as well as workforce management in EMEA region.
Achieve strategic business goals for vendor workforce in terms of customer experience, service levels, quality, delivery of service and cost.
Monitor daily performance, collect and analyze data in order to recognize trends and potential issues across key performance metrics.
Support vendor selection, agreements and overall vendor operations strategy, while leading regular business reviews and manage vendor relationships.
Work closely with various internal groups to understand business requirements, implement new products or processes, participate in workforce planning and budgeting activities, and contribute to ongoing process improvements."
Technical Solutions,"Produce required design specifications, provide technical leadership and architectural mentorship and help customers build quality technical solutions/implementations with on-premises, cloud and hybrid cloud-based Apigee solution.
Work closely with geographically distributed Apigee and Customer project teams to align the technical requirements and the solution design with the customer's business drivers and in order to demonstrate our value.
Act as a liaison for the engineering and product teams to commercialize solutions with partners and customers.
Travel up to 50% of the time."
Software Engineering,"Manage feature development for graphics modeling and rendering of the robotics simulation system.
Drive engineering excellence towards high-quality and highly-stable code.
Collaborate with Product and Engineering teams across geographical locations."
Technical Writing,"Write technical documentation for our external developer audience, such as API reference docs and developer guides.
Design and organize documentation sets for new APIs and developer products.
Edit, clarify, and proofread documents written by others, and coach non-writers on ways to improve their writing skills.
Supplement developer documentation with relevant sample code."
Technical Solutions,"Help compile customer requirements as well as survey existing customer IT landscape to enable integrations from PoC stage to a full deployment of products managing healthcare and/or life sciences data in Google Cloud.
Define the business case for solutions, design solutions to help prototype and develop the customer’s new environment, and guide solutions through launch to market. Create training materials, guides, demonstrations and white papers and help scale solutions delivery.
Engage standards communities to drive the development of standards that meet platform and customer needs, and ensure that standards implementers know what the Google Cloud Healthcare platform can do for them.
Demonstrate thought leadership in cloud computing across multiple channels and become a trusted advisor to decision makers. Provide customer and market feedback to the Product and Engineering teams and help shape product direction.
Travel as required in-region for meetings, technical reviews and onsite delivery activities."
Technical Infrastructure,"Support operations and analytic projects related to the capacity planning, allocation, and fulfillment needs for compute, storage, and network resources.
Work with partner teams to re-engineer process workflows around demand planning, supply planning, ordering, and fulfillment.
Work with engineering to specify requirements and user test plans for software systems to support capacity planning, forecasting, modeling, and resource allocation/distribution.
Coordinate projects across functional teams and business units to deliver features and releases within ambitious timelines.
Play a key role in the advancement of strategy, policy, and supporting tools for operations."
Technical Solutions,"Work intensively on a project basis with our clients in order to help them solve their measurement and attribution challenges, leading to extensive incremental business growth.
Work closely with local Sales teams to open doors for clients. Scale your knowledge to the local Account Team so that they can scale this further to the rest of their accounts.
Work closely with the EMEA-wide expert knowledge community to stay updated and contribute to excellent community knowledge. Strive to constantly increase your own knowledge and the knowledge of those around you.
Build a thorough knowledge of how clients and agencies can use Google measurement solutions to meet their marketing objectives."
Program Management,"Work closely across multiple teams.
Deliver a consistent worldwide strategy for initiatives to support our strategic alliances for energizing the market and ecosystem to partner with Google.
Be responsible for the global strategy, core initiative development, and funding programs, and analytics to drive effective partner Go-to-Market initiatives that provide value for our customers and ignite our ecosystem.
Understand our partnerships, their goals and the intersection with Google’s, design innovative GTM campaigns and evaluate which partners we need to support.
Guide regional teams in understanding the initiatives across the Americas, EMEA and JAPAC."
Program Management,"Develop, track program plans, consult on solutions to technical problems, and communicate schedule and technical considerations to leadership.
Support Software Technical leads in managing timing risks, bug tracking and conducting software performance analysis.
Prioritize activities for quick execution of critical path work items.
Understand and communicate engineering challenges and project strategy."
Technical Solutions,"Work with the team to identify and qualify business opportunities, identify key customer technical objections and develop the strategy to resolve technical impediments.
Manage the technical relationship with Google’s customers, including managing product and solution briefings, proof-of-concept work, and the coordination of additional technical resources.
Work directly with customers to demonstrate and prototype Google Cloud product integrations in customer/partner environments.
Recommend integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution using best practices on Google Cloud.
Travel to customer sites, conferences, and other related events as required."
Technical Solutions,"Implement, troubleshoot and support complex technical solutions with DoubleClick advertising products to drive customer success and product adoption.
Understand requirements, provide technical consultation and develop custom technical solutions to meet the complex needs of advertisers.
Contribute to product development by identifying gaps and deficiencies in current product offerings at a pod or product level to drive both operational efficiencies and business growth, collaborating with client services, product management and engineering teams to drive innovation.
Build strong relationships with the sales team and end advertisers/agencies to understand their key challenges and present/implement scalable technical solution proactively to earn the status of trusted advisor."
Technical Solutions,"Consult with customers on technical issues based on in-depth product and technical knowledge.
Develop technical tools and documentation to expedite implementations and improve product serviceability.
Act as a liaison for the engineering and product teams to commercialize solutions with partners and customers.
Provide product solution improvements and market opportunities to Product Managers and Engineering.
Provide highly technical implementation support in customer environment, including guidance on implementation feasibility of cross-product integrations."
Partnerships,"Serve as point of contact for Partners and manage consistent and operationally efficient “Partner first” business practices to onboard and support our partners through their partnership lifecycle.
Understand and propose the necessary systems and process changes to reduce friction for our partners and Sales teams.
Contribute to the development of existing and future state Partner Onboarding activities and initiatives that develop ongoing touch points with Partners to increase their success with Google Cloud.
Promote new initiatives and offers proactively to our partners in a scalable fashion that energizes our partner ecosystem."
Technical Solutions,"Work as part of a Sales team to identify and qualify Platform opportunities and determine if Google Cloud Platform is right for them. Identify business and technical requirements, conduct full technical discovery and architect client solutions to meet gathered requirements.
Take responsibility for leading technical projects, including activities such as technology advocacy, supporting bid responses, product and solution briefings, proof-of-concept work, and the coordination of supporting technical resources.
Work hands-on with Google Cloud Platform products to demonstrate and prototype integrations in customer/partner environments. Travel frequently around EMEA as required for meetings, technical reviews and onsite delivery activities.
Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Make recommendations on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness."
Technical Solutions,"Work with the team to identify and qualify business opportunities, understand key customer technical objections and develop the strategy to resolve technical blockers.
Provide in-depth video and media expertise to support the technical relationship with Google’s customers, including product and solution briefings, proof-of-concept work, and partner directly with product management to prioritize solutions impacting customer adoption to Google Cloud.
Work hands-on with customers to demonstrate and prototype Google Cloud product integrations in customer/partner environments.
Recommend integration strategies, enterprise architectures, platforms and application infrastructure required to implement a complete solution using best practices on Google Cloud.
Travel to customer sites, conferences, and other related events as required."
Manufacturing & Supply Chain,"Plan and implement the development of New Product Introduction (NPI) builds and ensure these products transition to production according to specific cost, quality and capacity goals.
Lead cross-functional teams within Google and with external partners to prepare for production ramp and product transitions.
Drive ramp readiness with internal teams as well as external partners (i.e. material availability, capacity readiness, transition plans).
Drive cross-functional teams to optimize the supply chain for specific strategic reasons, while accounting for risks, changes in schedule or demand.
Provide support for products in a sustaining environment."
Technical Solutions,"Work with the team to identify and qualify business opportunities, understand key customer technical objections and develop the strategy to resolve technical blockers.
Provide in-depth video and media expertise to support the technical relationship with Google’s customers, including product and solution briefings, proof-of-concept work, and partner directly with product management to prioritize solutions impacting customer adoption to Google Cloud.
Work hands-on with customers to demonstrate and prototype Google Cloud product integrations in customer/partner environments.
Recommend integration strategies, enterprise architectures, platforms and application infrastructure required to implement a complete solution using best practices on Google Cloud.
Travel to customer sites, conferences, and other related events as required."
Program Management,"Build consistent offerings to energize the market and ecosystem to partner with Google.
Design a compelling partner experience and management model for ensuring our partners are provided an effective partner experience invested in their growth with GCP.
Oversee on-line communities, Partner Advisory Councils and focus groups."
Program Management,"Collaborate with Sales/Partner leads and technical stakeholders to translate complex customer requirements into recommendations for appropriate solution architectures.
Work with customer technical leads, client executives and partners to manage and deliver successful migrations to cloud solutions.
Create programs and template solutions to achieve scalable impact across the customer and partner ecosystem.
Understand customer needs and help to shape Google’s long-term product strategy.
Travel internationally up to 30% of the time to clients and customer's locations."
Technical Solutions,"Deliver high-quality solutions including sample code and solve complex technical customer challenges.
Be a trusted strategic technical advisor to Google's strategic customers.
Identify new product features and feature gaps, provide guidance on existing product issues, and collaborate with Product Managers and engineers to influence the strategy of Google Cloud Platform.
Deliver best practices recommendations, tutorials, blog articles and technical presentations adapting to different levels of business and technical stakeholders.
Travel up to 30% of the time."
Hardware Engineering,"Manage a cross-functional team of electrical engineers, product design engineers, and program managers.
Guide the team through the architecture definition and product development process, by mentoring and participation in design reviews.
Work closely with the product management, operations, and quality teams to ensure we're building high quality products.
Manage the overall planning, execution, and success of multiple complex consumer hardware programs.
Build consensus among cross-functional teams and influence decision making with senior-level audiences."
